표제어,본체,분리결과,분리층수,규칙,부가어,검수표시
儀禮經傳通解續少牢下,儀禮,經傳通解續少牢下,2,경전+편명+상하,,
周禮天官下,周禮,天官下,2,경전+편명+상하,,
周禮天官冢宰下,周禮,天官冢宰下,2,경전+편명+상하,,
大學平天下,大學,平天下,2,경전+편명+상하,,
孟子上,孟子,上,2,경전+편명+상하,,
孟子公孫丑下,孟子,公孫丑下,2,경전+편명+상하,,
孟子告子上,孟子,告子上,2,경전+편명+상하,,
孟子告子下,孟子,告子下,2,경전+편명+상하,,
孟子滕文公上,孟子,滕文公上,2,경전+편명+상하,,
孟子滕文公下,孟子,滕文公下,2,경전+편명+상하,,
孟子盡心上,孟子,盡心上,2,경전+편명+상하,,
孟子盡心下,孟子,盡心下,2,경전+편명+상하,,
孟子第七卷盡心上,孟子,第七卷盡心上,2,경전+편명+상하,,
孟子第六卷滕文公下,孟子,第六卷滕文公下,2,경전+편명+상하,,
孟子萬章上,孟子,萬章上,2,경전+편명+상하,,
孟子萬章下,孟子,萬章下,2,경전+편명+상하,,
孟子離婁上,孟子,離婁上,2,경전+편명+상하,,
孟子離婁下,孟子,離婁下,2,경전+편명+상하,,
宋鑑元順帝下,宋鑑,元順帝下,2,경전+편명+상하,,
宋鑑寧宗紀下,宋鑑,寧宗紀下,2,경전+편명+상하,,
宋鑑神宗皇帝下,宋鑑,神宗皇帝下,2,경전+편명+상하,,
春秋文公下,春秋,文公下,2,경전+편명+상하,,
書傳說命下,書傳,說命下,2,경전+편명+상하,,
禮記曲禮下,禮記,曲禮下,2,경전+편명+상하,,
禮記月令上,禮記,月令上,2,경전+편명+상하,,
禮記檀弓上,禮記,檀弓上,2,경전+편명+상하,,
綱目中宗下,綱目,中宗下,2,경전+편명+상하,,
綱目唐中宗下,綱目,唐中宗下,2,경전+편명+상하,,
綱目唐憲宗下,綱目,唐憲宗下,2,경전+편명+상하,,
綱目唐懿宗下,綱目,唐懿宗下,2,경전+편명+상하,,
綱目唐玄宗下,綱目,唐玄宗下,2,경전+편명+상하,,
綱目唐高祖下太宗上,綱目,唐高祖下太宗上,2,경전+편명+상하,,
綱目後唐莊宗下,綱目,後唐莊宗下,2,경전+편명+상하,,
綱目梁武帝下,綱目,梁武帝下,2,경전+편명+상하,,
綱目武帝下,綱目,武帝下,2,경전+편명+상하,,
綱目高宗下,綱目,高宗下,2,경전+편명+상하,,
資治通鑑唐高祖紀上,資治通鑑,唐高祖紀上,2,경전+편명+상하,,
資治通鑑魏高貴鄕公下,資治通鑑,魏高貴鄕公下,2,경전+편명+상하,,
五禮儀享魂殿齋戒條,五禮儀,享魂殿齋戒條,2,법전+[육전]+조항,,중간층분리검토
五禮儀冊妃條,五禮儀,冊妃條,2,법전+[육전]+조항,,
五禮儀序例辨祀條,五禮儀,序例辨祀條,2,법전+[육전]+조항,,중간층분리검토
五禮儀序例齋官條,五禮儀,序例齋官條,2,법전+[육전]+조항,,중간층분리검토
五禮儀序例齋戒條,五禮儀,序例齋戒條,2,법전+[육전]+조항,,중간층분리검토
五禮儀春禮條,五禮儀,春禮條,2,법전+[육전]+조항,,
五禮儀服制條,五禮儀,服制條,2,법전+[육전]+조항,,
五禮儀班次條,五禮儀,班次條,2,법전+[육전]+조항,,
五禮儀發引條,五禮儀,發引條,2,법전+[육전]+조항,,
五禮儀發引班次條,五禮儀,發引班次條,2,법전+[육전]+조항,,중간층분리검토
五禮儀祈告報祀條,五禮儀,祈告報祀條,2,법전+[육전]+조항,,중간층분리검토
五禮儀祝版條,五禮儀,祝版條,2,법전+[육전]+조항,,
五禮儀禁戒條,五禮儀,禁戒條,2,법전+[육전]+조항,,
五禮儀禫祭條,五禮儀,禫祭條,2,법전+[육전]+조항,,
五禮儀續編拜大院君祠宇儀條,五禮儀,續編拜大院君祠宇儀條,2,법전+[육전]+조항,,중간층분리검토
五禮儀軍禮條,五禮儀,軍禮條,2,법전+[육전]+조항,,
五禮儀齋戒條,五禮儀,齋戒條,2,법전+[육전]+조항,,
刑律名例二十八條,刑律名例,二十八條,2,법전+[육전]+조항,,
刑律名例第二三十條,刑律名例,第二三十條,2,법전+[육전]+조항,,중간층분리검토
刑律名例第二十八條,刑律名例,第二十八條,2,법전+[육전]+조항,,중간층분리검토
刑律名例第十條,刑律名例,第十條,2,법전+[육전]+조항,,
受敎輯錄禁制條,受敎輯錄,禁制條,2,법전+[육전]+조항,,
同律事應奏不奏條,同律,事應奏不奏條,2,법전+[육전]+조항,,중간층분리검토
同律對制上書詐不以實條,同律,對制上書詐不以實條,2,법전+[육전]+조항,,중간층분리검토
同律捕亡條,同律,捕亡條,2,법전+[육전]+조항,,
同律棄毁制書印信條,同律,棄毁制書印信條,2,법전+[육전]+조항,,중간층분리검토
同律死囚覆奏待報條,同律,死囚覆奏待報條,2,법전+[육전]+조항,,중간층분리검토
同律死囚覆奏條,同律,死囚覆奏條,2,법전+[육전]+조항,,중간층분리검토
同律比附條,同律,比附條,2,법전+[육전]+조항,,
同律行宮營門條,同律,行宮營門條,2,법전+[육전]+조항,,중간층분리검토
同律訴訟條,同律,訴訟條,2,법전+[육전]+조항,,
同律逃避差役條,同律,逃避差役條,2,법전+[육전]+조항,,중간층분리검토
周禮大司徒掌荒政十二條,周禮,大司徒掌荒政十二條,2,법전+[육전]+조항,,중간층분리검토
周禮荒政條,周禮,荒政條,2,법전+[육전]+조항,,
