표제어,처리,배제사유,대표예시
署,관서제거,관서명 — 지침 2-1. 경계축소가 아니라 span 전체 제거,宗廟署
三間,배제,건물 부위·구조물,樂器庫三間
下馬所,배제,위치어(2-5),明陵下馬所
享所,배제,의례 시 설정되는 자리·옛터 — 고유 시설 아님,南壇享所
公廨,배제,임시시설·상태서술·부위,光陵公廨
北墻,배제,건물 부위·구조물,宗廟北墻
右岡,배제,위치어(2-5),厚陵右岡
右崗,배제,위치어(2-5),崇陵右崗
園上,배제,위치어(2-5),顯隆園園上
墓所,배제,임시시설·상태서술·부위,畿內東西陵園墓所
墻,배제,건물 부위·구조물,貳極門西邊內宮墻
墻一間,배제,건물 부위·구조물,秋景苑南邊內宮墻一間
墻二間,배제,건물 부위·구조물,集成門北邊內宮墻二間
墻垣,배제,건물 부위·구조물,宗廟墻垣
失火處,배제,상태 서술,南壇失火處
定界處,배제,임시시설·상태서술·부위,綏陵定界處
宮墻,배제,건물 부위·구조물,昌德宮宮墻
宿所,배제,임시 시설·처소,華城行宮宿所
尊所,배제,임시 시설·처소,宗廟尊所
左岡,배제,위치어(2-5),昌陵左岡
幕次,배제,임시 시설·처소,迎恩門幕次
幸行,배제,임시시설·상태서술·부위,仁陵幸行
廬次,배제,임시 시설·처소,昌德宮廬次
後峯,배제,위치어(2-5),讀書堂後峯
後峰,배제,위치어(2-5),讀書堂後峰
所洞口,배제,임시시설·상태서술·부위,鈴原府大夫人墓所洞口
晝停,배제,임시 시설·처소,始興縣行宮晝停
晝停所,배제,임시 시설·처소,始興縣行宮晝停所
有頉處,배제,상태 서술,東關王廟有頉處
柱根,배제,건물 부위·구조물,先蠶壇東邊紅箭門柱根
植木處,배제,임시시설·상태서술·부위,綏陵植木處
正間,배제,임시시설·상태서술·부위,楊州牧鄕校聖殿正間
洞口,배제,임시시설·상태서술·부위,宗廟洞口
洞口前,배제,위치어(2-5),宗廟洞口前
滲漏處,배제,상태 서술,啓聖祠正堂滲漏處
火巢內,배제,위치어(2-5),光陵火巢內
版位,배제,의례 시 설정되는 자리·옛터 — 고유 시설 아님,望廟樓版位
破傷處,배제,상태 서술,南水閣水門東邊鐵門破傷處
紅門外,배제,위치어(2-5),光陵紅門外
舊基,배제,의례 시 설정되는 자리·옛터 — 고유 시설 아님,文昭殿舊基
西墻,배제,건물 부위·구조물,宗廟西墻
近處,배제,상태 서술,三淸洞北倉近處
鐵箭,배제,건물 부위·구조물,宣仁門南邊水門鐵箭
降輿所,배제,임시 시설·처소,中和殿降輿所
降轎所,배제,임시 시설·처소,南小館降轎所
雨漏處,배제,상태 서술,敬安堂雨漏處
頹圮處,배제,상태 서술,光德門西邊內宮墻挾門頹圮處
齋室後,배제,위치어(2-5),健元陵齋室後
丁字閣,병합,능·묘 부속 건물,徽陵丁字閣
丁閣,병합,능·묘 부속 건물,明陵丁閣
三樂堂,병합,,毓祥宮三樂堂
三殿閣,병합,,景福宮三殿閣
中門,병합,,宗廟中門
主峯,병합,능·묘 부속 건물,弘陵主峯
停車場,병합,,南大門停車場
別堂,병합,,慶運宮別堂
北月臺,병합,,勤政殿北月臺
北水門,병합,,大報壇北水門
南廊,병합,,資政殿南廊
南月廊,병합,,明政殿南月廊
南月臺,병합,,崇政殿南月臺
南行廊,병합,,寶慶堂南行廊
南行閣,병합,,慶熙宮泰寧殿南行閣
同原,병합,능·묘 부속 건물,景陵同原
坪,병합,,板門坪
城,병합,,北漢平倉城
基,병합,,仁安殿基
基址,병합,,景慕宮基址
大廳,병합,,明倫堂大廳
大王陵,병합,능·묘 부속 건물,崇陵大王陵
大路,병합,,敦義門大路
大門,병합,,宗廟大門
夾門,병합,,冽泉門夾門
奉室,병합,,大報壇奉室
宇,병합,,毓祥宮廟宇
室,병합,,社稷齋室
展,병합,,太廟展
山史庫,병합,,五臺山史庫
山史閣,병합,,五臺山史閣
庭,병합,,仁政殿庭
廟庭,병합,,宗廟廟庭
所晝停,병합,,黔巖碑閣所晝停
挾門,병합,,敦化門挾門
曲墻,병합,능·묘 부속 건물,元陵曲墻
月廊,병합,,明政殿月廊
月臺,병합,,仁政殿月臺
望廟摟,병합,,景慕宮望廟摟
望廟樓,병합,,景慕宮望廟樓
本館,병합,,昌德宮本館
東夾門,병합,,孝慕殿東夾門
東庭,병합,,崇政殿東庭
東挾,병합,,敦化門東挾
東挾門,병합,,孝定殿東挾門
東月廊,병합,,明政殿東月廊
東月臺,병합,,崇政殿東月臺
東翼閣,병합,,大造殿東翼閣
東行閣,병합,,景福殿東行閣
東西廡,병합,,圜丘壇東西廡
正堂,병합,,宣禧宮正堂
正殿,병합,,璿源殿正殿
正門,병합,,景孝殿正門
殿庭,병합,,永寧殿殿庭
水門,병합,,北水閣水門
水閣,병합,,敦化門水閣
王后陵,병합,능·묘 부속 건물,顯陵王后陵
留門,병합,,開陽門留門
當室,병합,,太廟當室
碑,병합,,咸興馳馬臺碑
碑石,병합,능·묘 부속 건물,永祐園碑石
