표제어,분류,적용조건
世子翊衛司,관서명,무조건
中樞府,관서명,무조건
五衛,관서명,무조건
五衛都摠府,관서명,무조건
仁壽府,관서명,무조건
仁寧府,관서명,무조건
仁順府,관서명,무조건
備邊司,관서명,무조건
兵曹,관서명,무조건
分禮賓寺郞廳禮賓寺,관서명,무조건
刑曹,관서명,무조건
北所,관서명,무조건
司䆃寺,관서명,무조건
司圃署,관서명,무조건
司憲府,관서명,무조건
司諫院,관서명,무조건
吏曹,관서명,무조건
均役廳,관서명,무조건
奎章閣,관서명,무조건
宗親府,관서명,무조건
宣惠廳,관서명,무조건
巡衛府,관서명,무조건
工曹,관서명,무조건
常平廳,관서명,무조건
廣興倉,관서명,무조건
弘文館,관서명,무조건
忠佐衛,관서명,무조건
忠武衛,관서명,무조건
忠淸水營,관서명,무조건
忠翊府,관서명,무조건
慶尙右兵營,관서명,무조건
慶尙左水營,관서명,무조건
戶曹,관서명,무조건
承寧府,관서명,무조건
承文院,관서명,무조건
捕盜廳,관서명,무조건
掌樂院,관서명,무조건
掌隷院,관서명,무조건
推刷都監郎廳,관서명,무조건
春秋館,관서명,무조건
書筵,관서명,무조건
曹司,관서명,무조건
東所,관서명,무조건
校書館,관서명,무조건
氷庫,관서명,무조건
活人署,관서명,무조건
瓦署,관서명,무조건
監造官軍器寺,관서명,무조건
禁府,관서명,무조건
禮曹,관서명,무조건
禮葬都監,관서명,무조건
經筵,관서명,무조건
義禁府,관서명,무조건
義興衛,관서명,무조건
聖節使通事司譯院,관서명,무조건
藝文館,관서명,무조건
虎賁衛,관서명,무조건
行敦寧府,관서명,무조건
西所,관서명,무조건
訓鍊都監,관서명,무조건
議政府,관서명,무조건
賑恤廳,관서명,무조건
贈義禁府,관서명,무조건
辨正都監,관서명,무조건
迎接都監,관서명,무조건
造紙署,관서명,무조건
道摠府,관서명,무조건
都摠,관서명,무조건
都總府,관서명,무조건
開城留後司,관서명,무조건
順承府,관서명,무조건
龍虎營,관서명,무조건
龍驤衛,관서명,무조건
今次,관형어,무조건
今番,관형어,무조건
仍任,관형어,무조건
代,관형어,무조건
以上,관형어,무조건
以下,관형어,무조건
何,관형어,무조건
