표제어,처리,재태깅결과,제외어,유형,출처구분
備邊司,제거,,,관서명,관서
內司僕,제거,,,관서명,관서
典牲署,제거,,,관서명,관서
典獄署,제거,,,관서명,관서
刑曹,제거,,,관서명,관서
北部觀光坊契昭格署,제거,,,관서명,관서
南部惠民署,제거,,,관서명,관서
司圃署,제거,,,관서명,관서
司憲府,제거,,,관서명,관서
司饔院,제거,,,관서명,관서
吏曹,제거,,,관서명,관서
圖畫署,제거,,,관서명,관서
圜丘署,제거,,,관서명,관서
外南山典牲署,제거,,,관서명,관서
天監,제거,,,관서명,관서
奉常寺,제거,,,관서명,관서
奎章閣,제거,,,관서명,관서
宗廟署,제거,,,관서명,관서
宗簿署,제거,,,관서명,관서
宣惠廳,제거,,,관서명,관서
尙衣院,제거,,,관서명,관서
工曹,제거,,,관서명,관서
常平坊造紙署,제거,,,관서명,관서
常平廳,제거,,,관서명,관서
平市署,제거,,,관서명,관서
廣興倉,제거,,,관서명,관서
延署,제거,,,관서명,관서
弘文館,제거,,,관서명,관서
御營廳,제거,,,관서명,관서
忠勳府,제거,,,관서명,관서
惠民署,제거,,,관서명,관서
慈幼局,제거,,,관서명,관서
承政院,제거,,,관서명,관서
承文院,제거,,,관서명,관서
掌苑署,제거,,,관서명,관서
掖庭署,제거,,,관서명,관서
摛文院,제거,,,관서명,관서
敦寧府,제거,,,관서명,관서
春秋館,제거,,,관서명,관서
昭格署,제거,,,관서명,관서
書雲觀,제거,,,관서명,관서
曹,제거,,,관서명,관서
校書館,제거,,,관서명,관서
歸厚署,제거,,,관서명,관서
殿獄署,제거,,,관서명,관서
民局,제거,,,관서명,관서
氷庫,제거,,,관서명,관서
活人署,제거,,,관서명,관서
活人院,제거,,,관서명,관서
漢城府,제거,,,관서명,관서
瓦署,제거,,,관서명,관서
社稷署,제거,,,관서명,관서
禮曹,제거,,,관서명,관서
義盈庫,제거,,,관서명,관서
義禁府,제거,,,관서명,관서
華署,제거,,,관서명,관서
藝文館,제거,,,관서명,관서
西活人署,제거,,,관서명,관서
訓鍊院,제거,,,관서명,관서
議政府,제거,,,관서명,관서
豐儲倉,제거,,,관서명,관서
軍器寺,제거,,,관서명,관서
軍資監,제거,,,관서명,관서
造紙署,제거,,,관서명,관서
長興庫,제거,,,관서명,관서
阿峴活人署,제거,,,관서명,관서
養濟院,제거,,,관서명,관서
中國,국호유지,{中國},,국호,종족·국호
乃蠻王國,국호유지,{乃蠻王國},,국호,종족·국호
倭,국호유지,{倭},,국호,종족·국호
倭國,국호유지,{倭國},,국호,종족·국호
元,국호유지,{元},,국호,종족·국호
南蠻國,국호유지,{南蠻國},,국호,종족·국호
周,국호유지,{周},,국호,종족·국호
唐,국호유지,{唐},,국호,종족·국호
大明,국호유지,{大明},,국호,종족·국호
女眞國,국호유지,{女眞國},,국호,종족·국호
宋,국호유지,{宋},,국호,종족·국호
日本,국호유지,{日本},,국호,종족·국호
明,국호유지,{明},,국호,종족·국호
晋,국호유지,{晋},,국호,종족·국호
朝鮮,국호유지,{朝鮮},,국호,종족·국호
朝鮮國,국호유지,{朝鮮國},,국호,종족·국호
梁,국호유지,{梁},,국호,종족·국호
楚,국호유지,{楚},,국호,종족·국호
殷,국호유지,{殷},,국호,종족·국호
淸,국호유지,{淸},,국호,종족·국호
漢,국호유지,{漢},,국호,종족·국호
燕,국호유지,{燕},,국호,종족·국호
秦,국호유지,{秦},,국호,종족·국호
華,국호유지,{華},,국호,종족·국호
蒙胡達王國,국호유지,{蒙胡達王國},,국호,종족·국호
越,국호유지,{越},,국호,종족·국호
達達國,국호유지,{達達國},,국호,종족·국호
遼,국호유지,{遼},,국호,종족·국호
金,국호유지,{金},,국호,종족·국호
隋,국호유지,{隋},,국호,종족·국호
魏,국호유지,{魏},,국호,종족·국호
魯,국호유지,{魯},,국호,종족·국호
麗,국호유지,{麗},,국호,종족·국호
齊,국호유지,{齊},,국호,종족·국호
㺚狚人,분할,{㺚狚},人,분할(지명),종족·국호
一岐州倭,분할,{一岐州}{倭},,분할(국호·지명),종족·국호
三浦倭奴,분할,{三浦},倭奴,분할(사람·집단·지명),종족·국호
三衛㺚子,분할,{三衛},㺚子,분할(종족·지명),종족·국호
三衛達達,분할,{三衛},達達,분할(종족·지명),종족·국호
三衛韃靼,분할,{三衛},韃靼,분할(종족·지명),종족·국호
中原人,분할,{中原},人,분할(지명),종족·국호
中國人,분할,{中國},人,분할(국호),종족·국호
五島人,분할,{五島},人,분할(지명),종족·국호
五島倭,분할,{五島}{倭},,분할(국호·지명),종족·국호
井邑人,분할,{井邑},人,분할(지명),종족·국호
交河人,분할,{交河},,분할(지명),종족·국호
交趾人,분할,{交趾},,분할(지명),종족·국호
任實人,분할,{任實},,분할(지명),종족·국호
