표제어,단위,도,읍격,진관,상위,표준형,전거,신뢰도,별칭여부
南漢,邑,京畿,牧,,,廣州,,,별칭
沁府,邑,京畿,都護府,,,江華,,,별칭
沁都,邑,京畿,都護府,,,江華,,,별칭
畿內,道,京畿,,,,京畿,,,별칭
瀛州,邑,全羅道,牧,,,濟州,,,별칭
灣府,邑,平安道,牧,,,義州,,,별칭
箕城,邑,平安道,府,,,平壤,,,별칭
萊府,邑,慶尙道,縣,,,東萊,,,별칭
萊館,邑,慶尙道,縣,,,東萊,,,별칭
北漢,,,,,,楊州,실험팀 폴백 회수,C,별칭
完山,?,,,,,全州,조선왕조실록 관직명사전,C,별칭
嶺南,?,,,,,慶尙道,조선왕조실록 관직명사전,C,별칭
松都,?,,,,,開城,조선왕조실록 관직명사전,C,별칭
海西,?,,,,,黃海道,조선왕조실록 관직명사전,C,별칭
湖南,?,,,,,全羅道,조선왕조실록 관직명사전,C,별칭
湖西,?,,,,,忠淸道,조선왕조실록 관직명사전,C,별칭
畿甸,,,,,,京畿,실험팀 폴백 회수,C,별칭
耽羅,?,,,,,濟州,조선왕조실록 관직명사전,C,별칭
華城,?,,,,,水原,조선왕조실록 관직명사전,C,별칭
關北,?,,,,,咸鏡道,조선왕조실록 관직명사전,C,별칭
關東,?,,,,,江原道,조선왕조실록 관직명사전,C,별칭
關西,?,,,,,平安道,조선왕조실록 관직명사전,C,별칭
井浦,鎭堡,京畿,,月串鎭,,,,,
交河,邑,京畿,縣,楊州鎭,,,,,
京畿,道,京畿,,,,,,,
仁川,邑,京畿,都護府,水原鎭,,,,,
利川,邑,京畿,都護府,廣州鎭,,,,,
加平,邑,京畿,縣,楊州鎭,,,,,
南陽,邑,京畿,都護府,水原鎭,,,,,
右道水運,邑,京畿,,,,,,,
喬桐,邑,京畿,縣,長湍鎭,,,,,
喬桐梁,鎭堡,京畿,,月串鎭,,,,,
坡州,邑,京畿,牧,楊州鎭,,,,,
崇義殿,廟殿宮,京畿,,,,,,,
左道水運,邑,京畿,,,,,,,
平丘道,驛道,京畿,,,,,,,
廣州,邑,京畿,牧,,,,,,
廣州鎭,邑,京畿,,,,,,,
慶安道,驛道,京畿,,,,,,,
抱川,邑,京畿,縣,楊州鎭,,,,,
振威,邑,京畿,縣,水原鎭,,,,,
月串鎭,鎭,京畿,,,,,,,
朔寧,邑,京畿,郡,長湍鎭,,,,,
果川,邑,京畿,縣,廣州鎭,,,,,
桃源道,驛道,京畿,,,,,,,
楊州,邑,京畿,牧,,,,,,
楊州鎭,鎭,京畿,,,,,,,
楊根,邑,京畿,郡,廣州鎭,,,,,
水原,邑,京畿,都護府,,,,,,
水原鎭,邑,京畿,,,,,,,
永宗浦,鎭堡,京畿,,月串鎭,,,,,
永平,邑,京畿,縣,楊州鎭,,,,,
江華,邑,京畿,都護府,長湍鎭,,,,,
洛河,渡,京畿,,,,,,,
漢江,渡,京畿,,,,,,,
漣川,邑,京畿,縣,長湍鎭,,,,,
濟物梁,鎭堡,京畿,,月串鎭,,,,,
砥平,邑,京畿,縣,廣州鎭,,,,,
碧瀾,渡,京畿,,,,,,,
積城,邑,京畿,縣,楊州鎭,,,,,
竹山,邑,京畿,縣,廣州鎭,,,,,
臨津,渡,京畿,,,,,,,
良才道,驛道,京畿,,,,,,,
草芝梁,鎭堡,京畿,,月串鎭,,,,,
衿川,邑,京畿,縣,水原鎭,,,,,
豊德,邑,京畿,郡,,,,,,
豐德,邑,京畿,,長湍鎭,,,,,
路梁,渡,京畿,,,,,,,
迎曙道,驛道,京畿,,,,,,,
通津,邑,京畿,縣,水原鎭,,,,,
重林道,驛道,京畿,,,,,,,
金浦,邑,京畿,縣,水原鎭,,,,,
長湍,邑,京畿,都護府,,,,,,
長湍鎭,鎭,京畿,,,,,,,
陰竹,邑,京畿,縣,廣州鎭,,,,,
陽城,邑,京畿,縣,水原鎭,,,,,
陽川,邑,京畿,縣,水原鎭,,,,,
陽智,邑,京畿,縣,廣州鎭,,,,,
驪州,邑,京畿,牧,廣州鎭,,,,,
高陽,邑,京畿,郡,楊州鎭,,,,,
麻田,邑,京畿,郡,長湍鎭,,,,,
龍仁,邑,京畿,縣,水原鎭,,,,,
井邑,邑,全羅道,縣,全州鎭,,,,,
任實,邑,全羅道,縣,南原鎭,,,,,
光州,邑,全羅道,牧,羅州鎭,,,,,
光陽,邑,全羅道,縣,順天鎭,,,,,
全州,邑,全羅道,府,,,,,,
全州鎭,邑,全羅道,,,,,,,
全羅右道,道,全羅道,,,,,,,
全羅左道,道,全羅道,,,,,,,
全羅道,道,全羅道,,,,,,,
務安,邑,全羅道,縣,羅州鎭,,,,,
南原,邑,全羅道,都護府,,,,,,
南原鎭,邑,全羅道,,,,,,,
南平,邑,全羅道,縣,羅州鎭,,,,,
南桃浦,鎭堡,全羅道,,臨淄島鎭,,,,,
參禮道,驛道,全羅道,,,,,,,
古阜,邑,全羅道,郡,全州鎭,,,,,
同福,邑,全羅道,縣,順天鎭,,,,,
呂島,鎭堡,全羅道,,蛇渡鎭,,,,,
和順,邑,全羅道,縣,順天鎭,,,,,
咸平,邑,全羅道,縣,羅州鎭,,,,,
咸悅,邑,全羅道,縣,全州鎭,,,,,
多慶浦,鎭堡,全羅道,,臨淄島鎭,,,,,
大靜,邑,全羅道,縣,濟州鎭,,,,,
寶城,邑,全羅道,郡,順天鎭,,,,,
康津,邑,全羅道,縣,長興鎭,,,,,
扶安,邑,全羅道,縣,全州鎭,,,,,
於蘭浦,鎭堡,全羅道,,臨淄島鎭,,,,,
旌義,邑,全羅道,縣,濟州鎭,,,,,
昌平,邑,全羅道,縣,南原鎭,,,,,
景陽道,驛道,全羅道,,,,,,,
會寧浦,鎭堡,全羅道,,蛇渡鎭,,,,,
木浦,鎭堡,全羅道,,臨淄島鎭,,,,,
樂安,邑,全羅道,郡,順天鎭,,,,,
求禮,邑,全羅道,縣,順天鎭,,,,,
沃溝,邑,全羅道,縣,全州鎭,,,,,
法聖浦,鎭堡,全羅道,,臨淄島鎭,,,,,
泰仁,邑,全羅道,縣,全州鎭,,,,,
海南,邑,全羅道,縣,長興鎭,,,,,
淳昌,邑,全羅道,郡,南原鎭,,,,,
潭陽,邑,全羅道,都護府,南原鎭,,,,,
