표제어,지명,지명끝,관직,품계,유형,전거,시행
一員從三都護府使,一員從三,4,都護府使,,外官-文,대전회통,1485
一員從二府尹,一員從二,4,府尹,,外官-文,대전회통,1485
一員從二觀察使,一員從二,4,觀察使,,外官-文,대전회통,1485
一員從五判官,一員從五,4,判官,,外官-文,대전회통,1485
一員從五縣令,一員從五,4,縣令,,外官-文,대전회통,1485
一員從四庶尹,一員從四,4,庶尹,,外官-文,대전회통,1485
一員正三大都護府使,一員正三,4,大都護府使,,外官-文,대전회통,1485
一員正三牧使,一員正三,4,牧使,,外官-文,대전회통,1485
七員從三都護府使,七員從三,4,都護府使,,外官-文,대전회통,1485
七員從四郡守,七員從四,4,郡守,,外官-文,대전회통,1485
三員從五縣令,三員從五,4,縣令,,外官-文,대전회통,1485
三員正三牧使,三員正三,4,牧使,,外官-文,대전회통,1485
三水鎭兵馬僉節制使,三水鎭,3,兵馬僉節制使,從三品,外官-武,경국대전,1485
三涉浦鎭水軍僉節制使,三涉浦鎭,4,水軍僉節制使,從三品,外官-武,경국대전,1485
上土兵馬萬戶,上土,2,兵馬萬戶,從四品,外官-武,경국대전,1485
上土同僉節制使,上土,2,同僉節制使,,外官-武,대전회통,1485
丑山浦水軍萬戶,丑山浦,3,水軍萬戶,從四品,外官-武,경국대전,1485
中和兵馬同僉節制使,中和,2,兵馬同僉節制使,從四品,外官-武,경국대전,1485
中和同僉節制使,中和,2,同僉節制使,,外官-武,대전회통,1485
中和郡守,中和,2,郡守,從四品,外官-文,경국대전,1485
中和都護府使,中和,2,都護府使,,外官-文,대전회통,1485
丹城兵馬節制都尉,丹城,2,兵馬節制都尉,從六品,外官-武,경국대전,1485
丹城節制都尉,丹城,2,節制都尉,,外官-武,대전회통,1485
丹城縣監,丹城,2,縣監,從六品,外官-文,경국대전,1485
丹陽兵馬同僉節制使,丹陽,2,兵馬同僉節制使,從四品,外官-武,경국대전,1485
丹陽同僉節制使,丹陽,2,同僉節制使,,外官-武,대전회통,1485
丹陽郡守,丹陽,2,郡守,從四品,外官-文,경국대전,1485
乫波知同僉節制使,乫波知,3,同僉節制使,,外官-武,대전회통,1485
二員從二府尹,二員從二,4,府尹,,外官-文,대전회통,1485
二員從五判官,二員從五,4,判官,,外官-文,대전회통,1485
二員從五縣令,二員從五,4,縣令,,外官-文,대전회통,1485
二員從六縣監,二員從六,4,縣監,,外官-文,대전회통,1485
二員從四郡守,二員從四,4,郡守,,外官-文,대전회통,1485
二員正三大都護府使,二員正三,4,大都護府使,,外官-文,대전회통,1485
二員正三牧使,二員正三,4,牧使,,外官-文,대전회통,1485
五員從五縣令,五員從五,4,縣令,,外官-文,대전회통,1485
五員從六縣監,五員從六,4,縣監,,外官-文,대전회통,1485
井浦水軍萬戶,井浦,2,水軍萬戶,從四品,外官-武,경국대전,1485
井浦萬戶,井浦,2,萬戶,,外官-武,대전회통,1485
井邑兵馬節制都尉,井邑,2,兵馬節制都尉,從六品,外官-武,경국대전,1485
井邑節制都尉,井邑,2,節制都尉,,外官-武,대전회통,1485
井邑縣監,井邑,2,縣監,從六品,外官-文,경국대전,1485
交河兵馬節制都尉,交河,2,兵馬節制都尉,從六品,外官-武,경국대전,1485
交河同僉節制使,交河,2,同僉節制使,,外官-武,대전회통,1485
交河縣監,交河,2,縣監,從六品,外官-文,경국대전,1485
交河郡守,交河,2,郡守,,外官-文,대전회통,1485
京畿兵馬節度使,京畿,2,兵馬節度使,從二品,外官-武,경국대전,1485
京畿審藥,京畿,2,審藥,從九品,外官-文,경국대전,1485
京畿敎授,京畿,2,敎授,從六品,外官-文,경국대전,1485
京畿檢律,京畿,2,檢律,從九品,外官-文,경국대전,1485
京畿水軍節度使,京畿,2,水軍節度使,正三品折衝,外官-武,경국대전,1485
京畿水軍統禦使,京畿,2,水軍統禦使,,外官-武,대전회통,1485
京畿觀察使,京畿,2,觀察使,從二品,外官-文,경국대전,1485
京畿訓導,京畿,2,訓導,從九品,外官-文,경국대전,1485
京畿都事,京畿,2,都事,從五品,外官-文,경국대전,1485
仁同兵馬節制都尉,仁同,2,兵馬節制都尉,從六品,外官-武,경국대전,1485
仁同同僉節制使,仁同,2,同僉節制使,,外官-武,대전회통,1485
仁同縣監,仁同,2,縣監,從六品,外官-文,경국대전,1485
仁同都護府使,仁同,2,都護府使,,外官-文,대전회통,1485
仁川兵馬同僉節制使,仁川,2,兵馬同僉節制使,從四品,外官-武,경국대전,1485
仁川同僉節制使,仁川,2,同僉節制使,,外官-武,대전회통,1485
仁川都護府使,仁川,2,都護府使,從三品,外官-文,경국대전,1485
仇寧兵馬萬戶,仇寧,2,兵馬萬戶,從四品,外官-武,경국대전,1485
仇寧萬戶,仇寧,2,萬戶,,外官-武,대전회통,1485
价川兵馬同僉節制使,价川,2,兵馬同僉節制使,從四品,外官-武,경국대전,1485
价川同僉節制使,价川,2,同僉節制使,,外官-武,대전회통,1485
价川郡守,价川,2,郡守,從四品,外官-文,경국대전,1485
任實兵馬節制都尉,任實,2,兵馬節制都尉,從六品,外官-武,경국대전,1485
任實節制都尉,任實,2,節制都尉,,外官-武,대전회통,1485
任實縣監,任實,2,縣監,從六品,外官-文,경국대전,1485
