표제어,분류,적용조건
夫人,결합작호,봉작 뒤
婦人,결합작호,봉작 뒤
兄,관계어,무조건
叔,관계어,무조건
嗣,관계어,무조건
壻,관계어,무조건
女,관계어,무조건
妹,관계어,무조건
妻,관계어,무조건
妾,관계어,무조건
姊,관계어,무조건
姪,관계어,무조건
婦,관계어,무조건
婿,관계어,무조건
子,관계어,무조건
孫,관계어,무조건
弟,관계어,무조건
後嗣,관계어,무조건
後孫,관계어,무조건
後室,관계어,무조건
曾孫,관계어,무조건
母,관계어,무조건
父,관계어,무조건
玄孫,관계어,무조건
祖,관계어,무조건
繼室,관계어,무조건
以上,범위·병칭,무조건
以下,범위·병칭,무조건
兄弟,범위·병칭,무조건
內外,범위·병칭,무조건
叔姪,범위·병칭,무조건
夫妻,범위·병칭,무조건
母子,범위·병칭,무조건
父子,범위·병칭,무조건
父母,범위·병칭,무조건
等,범위·병칭,무조건
諸人,범위·병칭,무조건
輩,범위·병칭,무조건
墓誌,저작·문서,무조건
墓誌銘,저작·문서,무조건
年譜,저작·문서,무조건
影堂,저작·문서,무조건
文集,저작·문서,무조건
碑文,저작·문서,무조건
碑銘,저작·문서,무조건
神道碑,저작·문서,무조건
神道碑銘,저작·문서,무조건
祠,저작·문서,무조건
祠宇,저작·문서,무조건
行狀,저작·문서,무조건
諡狀,저작·문서,무조건
遺稿,저작·문서,무조건
遺集,저작·문서,무조건
奴,처소·소속,무조건
奴婢,처소·소속,무조건
婢,처소·소속,무조건
宮奴,처소·소속,무조건
家奴,처소·소속,무조건
第,처소·소속,무조건
世子,품계작호,무조건
世子嬪,품계작호,무조건
世孫,품계작호,무조건
令夫人,품계작호,무조건
元子,품계작호,무조건
元孫,품계작호,무조건
公主,품계작호,무조건
大夫人,품계작호,무조건
奉保夫人,품계작호,무조건
嬪,품계작호,무조건
宜人,품계작호,무조건
宮主,품계작호,무조건
府大夫人,품계작호,무조건
府夫人,품계작호,무조건
恭人,품계작호,무조건
昭儀,품계작호,무조건
淑儀,품계작호,무조건
淑夫人,품계작호,무조건
王后,품계작호,무조건
王妃,품계작호,무조건
皇后,품계작호,무조건
縣主,품계작호,무조건
縣夫人,품계작호,무조건
翁主,품계작호,무조건
貞夫人,품계작호,무조건
貞敬夫人,품계작호,무조건
貴人,품계작호,무조건
郡主,품계작호,무조건
郡夫人,품계작호,무조건
